, 09:58:14
19MH1A0510, 09:58:15
19MH1A0548, 09:58:16
19MH1A0591, 09:58:17
19MH1A0579, 09:58:18
19MH1A0532, 09:58:21
19MH1A05A6, 09:58:37
20MH5A0504, 09:58:51
19MH1A0595, 09:59:34
19MH1A0542, 09:59:38
19MH1A0539, 09:59:46
19MH1A0543, 10:00:13
19MH1A0544, 10:05:17
19MH1A0502, 10:05:48
20MH5A0503, 10:06:32
KOTI, 10:13:38
AMAR, 10:32:59
19MH1A0537, 10:33:04
19MH1A0574, 10:33:22
19MH1A05B2, 10:33:23
19MH1A0588, 10:33:34
19MH1A0511, 10:45:14
19MH1A05C1, 10:45:20
19MH1A0577, 10:45:20
19MH1A0549, 10:45:33
20MH5A0501, 10:45:45
19MH1A0582, 10:45:45
19MH1A0593, 10:45:46
20MH5A0511, 10:52:38
19MH1A0597, 10:52:42
19MH1A0517, 10:52:48
19MH1A0555, 10:57:36
20MH5A0507, 10:57:41
19MH1A0570, 11:15:16
19MH1A05A0, 11:15:16
20MH5A0512, 11:15:17
19MH1A0526, 11:15:18
19MH1A0587, 11:15:18
19MH1A05A1, 11:27:12
19MH1A0550, 11:27:13
19MH1A0530, 11:27:20
19MH1A0516, 11:27:23
19MH1A0572, 11:27:28
,
19MH1A0538, 12:04:38
,
19MH1A0527, 13:02:28
19MH1A0533, 13:02:33
19MH1A0509, 13:02:33
19MH1A0581, 13:03:07
19MH1A0524, 13:03:16
19MH1A0566, 13:03:22
20MH5A0506, 13:03:24
19MH1A05A8, 13:03:26
19MH1A0534, 13:07:00
19MH1A05B0, 13:07:01
19MH1A0529, 13:08:35
19MH1A0554, 13:19:04
19MH1A0503, 13:19:16
19MH1A0557, 13:50:06
19MH1A0585, 14:38:56
19MH1A0546, 14:42:45
19MH1A0590, 14:45:49
19MH1A0520, 18:37:12
19MH1A0504, 18:37:18
,
, 10:33:18
19MH1A0514, 10:33:37
19MH1A05A9, 10:33:43
19MH1A0562, 10:33:56
19MH1A0596, 10:33:56
,
19MH1A0510.JPJ, 10:54:50
19MH1A05C2, 10:54:57
19MH1A0580, 10:58:42
19MH1A0561, 10:59:00
19MH1A0598, 10:59:09
19MH1A0501, 11:04:37
,
19MH1A05A3, 11:25:51
19MH1A0513, 11:26:25
,
19MH1A0555, 11:31:07
KOTI, 11:31:45

19MH1A0576, 18:31:58
20MH5A0509, 18:31:59
19MH1A0556, 18:32:22
19MH1A0586, 18:32:47
